order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
15,3,768,384,0.3,balanced,20,267,67,270,67,0.8805970149253731,0.8820251257170761,0.8933333333333333
15,4,768,384,0.3,balanced,20,267,67,270,67,0.9253731343283582,0.9253333044664315,0.9312698412698414
15,5,768,384,0.3,balanced,20,268,66,268,69,0.9242424242424242,0.9174967679379444,0.9175757575757576
16,1,768,384,1.0,,20,267,67,270,67,0.7761194029850746,0.7163895245359776,0.7485714285714286
16,2,768,384,1.0,,20,267,67,270,67,0.8656716417910447,0.8746115288220551,0.8738888888888889
16,3,768,384,1.0,,20,267,67,270,67,0.835820895522388,0.8454235822656875,0.8583333333333334
16,4,768,384,1.0,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
16,5,768,384,1.0,,20,268,66,268,69,0.8636363636363636,0.8525086025086024,0.8525324675324676
17,1,768,384,1.0,balanced,20,267,67,270,67,0.8805970149253731,0.8761965811965812,0.8746031746031745
17,2,768,384,1.0,balanced,20,267,67,270,67,0.8955223880597015,0.9056372549019608,0.903888888888889
17,3,768,384,1.0,balanced,20,267,67,270,67,0.8805970149253731,0.8820251257170761,0.8933333333333333
17,4,768,384,1.0,balanced,20,267,67,270,67,0.9253731343283582,0.9253333044664315,0.9312698412698414
17,5,768,384,1.0,balanced,20,268,66,268,69,0.9242424242424242,0.9174967679379444,0.9175757575757576
18,1,768,384,3.0,,20,267,67,270,67,0.7761194029850746,0.7163895245359776,0.7485714285714286
18,2,768,384,3.0,,20,267,67,270,67,0.8656716417910447,0.8746115288220551,0.8738888888888889
18,3,768,384,3.0,,20,267,67,270,67,0.835820895522388,0.8454235822656875,0.8583333333333334
18,4,768,384,3.0,,20,267,67,270,67,0.8656716417910447,0.8584821903242957,0.8645238095238096
18,5,768,384,3.0,,20,268,66,268,69,0.8636363636363636,0.8525086025086024,0.8525324675324676
19,1,768,384,3.0,balanced,20,267,67,270,67,0.8805970149253731,0.8761965811965812,0.8746031746031745
19,2,768,384,3.0,balanced,20,267,67,270,67,0.8805970149253731,0.8938725490196079,0.8927777777777779
19,3,768,384,3.0,balanced,20,267,67,270,67,0.8805970149253731,0.8820251257170761,0.8933333333333333
19,4,768,384,3.0,balanced,20,267,67,270,67,0.9253731343283582,0.9253333044664315,0.9312698412698414
19,5,768,384,3.0,balanced,20,268,66,268,69,0.9242424242424242,0.9174967679379444,0.9175757575757576
20,1,1024,0,0.03,,20,267,67,270,67,0.8059701492537313,0.7653102453102453,0.7785714285714287
20,2,1024,0,0.03,,20,267,67,270,67,0.835820895522388,0.8248788638262322,0.841388888888889
20,3,1024,0,0.03,,20,267,67,270,67,0.8507462686567164,0.8499806076276665,0.8616666666666667
20,4,1024,0,0.03,,20,267,67,270,67,0.8805970149253731,0.8764646464646466,0.8895238095238096
20,5,1024,0,0.03,,20,268,66,268,69,0.8484848484848485,0.8293675768675769,0.835865800865801
21,1,1024,0,0.03,balanced,20,267,67,270,67,0.9104477611940298,0.908509180877602,0.9046031746031746
21,2,1024,0,0.03,balanced,20,267,67,270,67,0.9104477611940298,0.9252562779497765,0.9238888888888889
21,3,1024,0,0.03,balanced,20,267,67,270,67,0.8955223880597015,0.8941020091020091,0.9058333333333334
21,4,1024,0,0.03,balanced,20,267,67,270,67,0.9253731343283582,0.9253333044664315,0.9312698412698414
21,5,1024,0,0.03,balanced,20,268,66,268,69,0.9090909090909091,0.9011821511821513,0.9050757575757575
22,1,1024,0,0.1,,20,267,67,270,67,0.835820895522388,0.8033152958152957,0.8071428571428573
22,2,1024,0,0.1,,20,267,67,270,67,0.8805970149253731,0.8945321637426901,0.8938888888888888
22,3,1024,0,0.1,,20,267,67,270,67,0.8507462686567164,0.8499806076276665,0.8616666666666667
22,4,1024,0,0.1,,20,267,67,270,67,0.8805970149253731,0.8764646464646466,0.8895238095238096
22,5,1024,0,0.1,,20,268,66,268,69,0.8939393939393939,0.886910866910867,0.8834848484848485
23,1,1024,0,0.1,balanced,20,267,67,270,67,0.9104477611940298,0.908509180877602,0.9046031746031746
23,2,1024,0,0.1,balanced,20,267,67,270,67,0.8955223880597015,0.9097326203208557,0.913888888888889
23,3,1024,0,0.1,balanced,20,267,67,270,67,0.9104477611940298,0.9081216169451464,0.9158333333333333
23,4,1024,0,0.1,balanced,20,267,67,270,67,0.9253731343283582,0.9253333044664315,0.9312698412698414
23,5,1024,0,0.1,balanced,20,268,66,268,69,0.8939393939393939,0.8899567099567101,0.8959848484848484
24,1,1024,0,0.3,,20,267,67,270,67,0.835820895522388,0.8033152958152957,0.8071428571428573
24,2,1024,0,0.3,,20,267,67,270,67,0.8955223880597015,0.9067105263157895,0.9063888888888888
24,3,1024,0,0.3,,20,267,67,270,67,0.8656716417910447,0.8667607392607394,0.8833333333333334
24,4,1024,0,0.3,,20,267,67,270,67,0.8805970149253731,0.8764646464646466,0.8895238095238096
24,5,1024,0,0.3,,20,268,66,268,69,0.8787878787878788,0.8692918192918192,0.8668181818181818
25,1,1024,0,0.3,balanced,20,267,67,270,67,0.9104477611940298,0.9060530405267248,0.9046031746031746
25,2,1024,0,0.3,balanced,20,267,67,270,67,0.8955223880597015,0.9097326203208557,0.913888888888889
25,3,1024,0,0.3,balanced,20,267,67,270,67,0.8955223880597015,0.895927405927406,0.9033333333333333
25,4,1024,0,0.3,balanced,20,267,67,270,67,0.9253731343283582,0.9253333044664315,0.9312698412698414
25,5,1024,0,0.3,balanced,20,268,66,268,69,0.8939393939393939,0.8899567099567101,0.8959848484848484
26,1,1024,0,1.0,,20,267,67,270,67,0.835820895522388,0.8033152958152957,0.8071428571428573
26,2,1024,0,1.0,,20,267,67,270,67,0.8955223880597015,0.9067105263157895,0.9063888888888888
26,3,1024,0,1.0,,20,267,67,270,67,0.8656716417910447,0.8720711967770791,0.8808333333333334
26,4,1024,0,1.0,,20,267,67,270,67,0.9104477611940298,0.9154842543077837,0.9180952380952382
26,5,1024,0,1.0,,20,268,66,268,69,0.8636363636363636,0.8479467900520532,0.8501515151515152
27,1,1024,0,1.0,balanced,20,267,67,270,67,0.8955223880597015,0.8834590555643189,0.8846031746031746
27,2,1024,0,1.0,balanced,20,267,67,270,67,0.8955223880597015,0.9097326203208557,0.913888888888889
27,3,1024,0,1.0,balanced,20,267,67,270,67,0.8955223880597015,0.9011561640973407,0.9033333333333333
27,4,1024,0,1.0,balanced,20,267,67,270,67,0.9253731343283582,0.9229046057142032,0.9312698412698414
27,5,1024,0,1.0,balanced,20,268,66,268,69,0.8787878787878788,0.8705239368474663,0.8709848484848486
28,1,1024,0,3.0,,20,267,67,270,67,0.8208955223880597,0.766424650228998,0.7871428571428571
28,2,1024,0,3.0,,20,267,67,270,67,0.8955223880597015,0.9067105263157895,0.9063888888888888
28,3,1024,0,3.0,,20,267,67,270,67,0.8656716417910447,0.8720711967770791,0.8808333333333334
28,4,1024,0,3.0,,20,267,67,270,67,0.9104477611940298,0.9130555555555556,0.9180952380952382
