order,fold,chunk_size,overlap,c,class_weight,min_char_count,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
12,2,768,384,0.1,,20,841,210,841,210,0.7857142857142857,0.765571362975059,0.7603713016307001
12,3,768,384,0.1,,20,841,210,841,210,0.8333333333333334,0.7704868341903698,0.7868836051166879
12,4,768,384,0.1,,20,841,210,841,210,0.8380952380952381,0.8004083201573833,0.7992558506656251
12,5,768,384,0.1,,20,841,210,841,210,0.8047619047619048,0.7594747455221346,0.758614921247606
13,1,768,384,0.1,balanced,20,840,211,840,211,0.8578199052132701,0.8241453222950061,0.8394693443565624
13,2,768,384,0.1,balanced,20,841,210,841,210,0.8476190476190476,0.8152148776395151,0.8317947194826893
13,3,768,384,0.1,balanced,20,841,210,841,210,0.9,0.8659823632815323,0.8870854083260098
13,4,768,384,0.1,balanced,20,841,210,841,210,0.8809523809523809,0.8451007133645464,0.8791304560101553
13,5,768,384,0.1,balanced,20,841,210,841,210,0.8523809523809524,0.8148974989651494,0.8348602838264492
14,1,768,384,0.3,,20,840,211,840,211,0.8104265402843602,0.7632893508280505,0.7665557291497141
14,2,768,384,0.3,,20,841,210,841,210,0.7904761904761904,0.7678478960212706,0.7636607753149106
14,3,768,384,0.3,,20,841,210,841,210,0.8333333333333334,0.7723234610638879,0.7868836051166879
14,4,768,384,0.3,,20,841,210,841,210,0.8380952380952381,0.8000209881911038,0.8005089834977054
14,5,768,384,0.3,,20,841,210,841,210,0.8095238095238095,0.7704207826291624,0.7691412370370796
15,1,768,384,0.3,balanced,20,840,211,840,211,0.8578199052132701,0.8271272696421378,0.8399478132560839
15,2,768,384,0.3,balanced,20,841,210,841,210,0.8476190476190476,0.8152148776395151,0.8317947194826893
15,3,768,384,0.3,balanced,20,841,210,841,210,0.9,0.8633577487455604,0.8870854083260098
15,4,768,384,0.3,balanced,20,841,210,841,210,0.8809523809523809,0.8451007133645464,0.8791304560101553
15,5,768,384,0.3,balanced,20,841,210,841,210,0.8523809523809524,0.814095461903185,0.8348602838264492
16,1,768,384,1.0,,20,840,211,840,211,0.8056872037914692,0.7598347684260996,0.7617710401544988
16,2,768,384,1.0,,20,841,210,841,210,0.7904761904761904,0.7678478960212706,0.7636607753149106
16,3,768,384,1.0,,20,841,210,841,210,0.8333333333333334,0.7723234610638879,0.7868836051166879
16,4,768,384,1.0,,20,841,210,841,210,0.8333333333333334,0.7952426296568385,0.7939300361292844
16,5,768,384,1.0,,20,841,210,841,210,0.8142857142857143,0.7757206332320926,0.771396876134824
17,1,768,384,1.0,balanced,20,840,211,840,211,0.8578199052132701,0.8271272696421378,0.8399478132560839
17,2,768,384,1.0,balanced,20,841,210,841,210,0.8476190476190476,0.81967351533915,0.8317947194826893
17,3,768,384,1.0,balanced,20,841,210,841,210,0.9,0.8633577487455604,0.8870854083260098
17,4,768,384,1.0,balanced,20,841,210,841,210,0.8809523809523809,0.8451007133645464,0.8791304560101553
17,5,768,384,1.0,balanced,20,841,210,841,210,0.8523809523809524,0.814095461903185,0.8348602838264492
18,1,768,384,3.0,,20,840,211,840,211,0.8056872037914692,0.7598347684260996,0.7617710401544988
18,2,768,384,3.0,,20,841,210,841,210,0.7857142857142857,0.7602664423871853,0.7578128220985364
18,3,768,384,3.0,,20,841,210,841,210,0.8285714285714286,0.7703601803222393,0.7844912606190801
18,4,768,384,3.0,,20,841,210,841,210,0.8333333333333334,0.7952426296568385,0.7939300361292844
18,5,768,384,3.0,,20,841,210,841,210,0.8142857142857143,0.7757206332320926,0.771396876134824
19,1,768,384,3.0,balanced,20,840,211,840,211,0.8578199052132701,0.8271272696421378,0.8399478132560839
19,2,768,384,3.0,balanced,20,841,210,841,210,0.8476190476190476,0.81967351533915,0.8317947194826893
19,3,768,384,3.0,balanced,20,841,210,841,210,0.9,0.8633577487455604,0.8870854083260098
19,4,768,384,3.0,balanced,20,841,210,841,210,0.8857142857142857,0.8471762952499392,0.880204569866224
19,5,768,384,3.0,balanced,20,841,210,841,210,0.8523809523809524,0.814095461903185,0.8348602838264492
20,1,1024,0,0.03,,20,840,211,840,211,0.8341232227488151,0.788367887709993,0.7935094771560938
20,2,1024,0,0.03,,20,841,210,841,210,0.7904761904761904,0.7524573293923139,0.756603359046968
20,3,1024,0,0.03,,20,841,210,841,210,0.8714285714285714,0.8169281152162629,0.8316407902874069
20,4,1024,0,0.03,,20,841,210,841,210,0.8523809523809524,0.8114115959760864,0.8169990723562153
20,5,1024,0,0.03,,20,841,210,841,210,0.8285714285714286,0.7898000842006215,0.7956941229442335
21,1,1024,0,0.03,balanced,20,840,211,840,211,0.8720379146919431,0.8616750657295889,0.8787531599561674
21,2,1024,0,0.03,balanced,20,841,210,841,210,0.8476190476190476,0.817227706673924,0.8313561229914613
21,3,1024,0,0.03,balanced,20,841,210,841,210,0.8857142857142857,0.8475522808520618,0.8660327767470625
21,4,1024,0,0.03,balanced,20,841,210,841,210,0.8666666666666667,0.8214617569063766,0.8567620349575237
21,5,1024,0,0.03,balanced,20,841,210,841,210,0.8571428571428571,0.8275416545234859,0.8505130521107964
22,1,1024,0,0.1,,20,840,211,840,211,0.8436018957345972,0.804554764258291,0.8081293601970293
22,2,1024,0,0.1,,20,841,210,841,210,0.8095238095238095,0.7722842058755373,0.7741272824919442
22,3,1024,0,0.1,,20,841,210,841,210,0.8666666666666667,0.814881463565674,0.8305666764313381
22,4,1024,0,0.1,,20,841,210,841,210,0.8523809523809524,0.8126241489708619,0.8183148618298994
22,5,1024,0,0.1,,20,841,210,841,210,0.8333333333333334,0.7954394884468371,0.8009572808389704
23,1,1024,0,0.1,balanced,20,840,211,840,211,0.8767772511848341,0.8598311026798137,0.8776367325239506
23,2,1024,0,0.1,balanced,20,841,210,841,210,0.861904761904762,0.8225224712162568,0.8401081166118761
23,3,1024,0,0.1,balanced,20,841,210,841,210,0.8952380952380953,0.8595036604973473,0.8788147316342806
23,4,1024,0,0.1,balanced,20,841,210,841,210,0.8666666666666667,0.8217691239244245,0.8567620349575237
23,5,1024,0,0.1,balanced,20,841,210,841,210,0.8523809523809524,0.8134285746209324,0.8399867363213227
24,1,1024,0,0.3,,20,840,211,840,211,0.8483412322274881,0.8167969080793821,0.8169012900215907
24,2,1024,0,0.3,,20,841,210,841,210,0.8142857142857143,0.7782380043989953,0.7807062298603652
24,3,1024,0,0.3,,20,841,210,841,210,0.8666666666666667,0.814881463565674,0.8305666764313381
24,4,1024,0,0.3,,20,841,210,841,210,0.8476190476190476,0.8080648117245441,0.8107960648374183
24,5,1024,0,0.3,,20,841,210,841,210,0.8380952380952381,0.7990328604169874,0.8084760778314516
25,1,1024,0,0.3,balanced,20,840,211,840,211,0.8815165876777251,0.8659333147316824,0.8828998904186874
25,2,1024,0,0.3,balanced,20,841,210,841,210,0.861904761904762,0.8225224712162568,0.8401081166118761
25,3,1024,0,0.3,balanced,20,841,210,841,210,0.8952380952380953,0.8595036604973473,0.8788147316342806
25,4,1024,0,0.3,balanced,20,841,210,841,210,0.861904761904762,0.8143299834375483,0.84623571916805
25,5,1024,0,0.3,balanced,20,841,210,841,210,0.8523809523809524,0.8160867351738298,0.8399867363213227
26,1,1024,0,1.0,,20,840,211,840,211,0.8530805687203792,0.8245967106160268,0.8234802373900119
26,2,1024,0,1.0,,20,841,210,841,210,0.8142857142857143,0.779900054260491,0.7807062298603652
26,3,1024,0,1.0,,20,841,210,841,210,0.8666666666666667,0.8109655146952452,0.8305666764313381
