order,fold,ngram_min,ngram_max,c,class_weight,min_df,sublinear_tf,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
10,2,2,5,0.1,,2,False,267,67,270,67,0.8208955223880597,0.7969603174603174,0.7913888888888889
10,3,2,5,0.1,,2,False,267,67,270,67,0.7611940298507462,0.6926578323637147,0.7084920634920635
10,4,2,5,0.1,,2,False,267,67,270,67,0.8507462686567164,0.8295737741790374,0.8326984126984127
10,5,2,5,0.1,,2,False,268,66,268,69,0.8181818181818182,0.7319027578315505,0.7490476190476191
11,1,2,5,0.1,,2,True,267,67,270,67,0.9104477611940298,0.9026551226551225,0.9003174603174603
11,2,2,5,0.1,,2,True,267,67,270,67,0.8955223880597015,0.8770528817587641,0.8638888888888889
11,3,2,5,0.1,,2,True,267,67,270,67,0.9402985074626866,0.9346453546453546,0.93
11,4,2,5,0.1,,2,True,267,67,270,67,0.9104477611940298,0.8835091808776019,0.8890476190476191
11,5,2,5,0.1,,2,True,268,66,268,69,0.9090909090909091,0.8689327485380117,0.865
12,1,2,5,0.1,balanced,1,False,267,67,270,67,0.9253731343283582,0.9317763772175537,0.9346031746031747
12,2,2,5,0.1,balanced,1,False,267,67,270,67,0.8805970149253731,0.8638175876411172,0.8702777777777777
12,3,2,5,0.1,balanced,1,False,267,67,270,67,0.835820895522388,0.8339734611793436,0.8534920634920635
12,4,2,5,0.1,balanced,1,False,267,67,270,67,0.9104477611940298,0.911947317388494,0.9203174603174604
12,5,2,5,0.1,balanced,1,False,268,66,268,69,0.8939393939393939,0.8877442002442002,0.8908658008658008
13,1,2,5,0.1,balanced,1,True,267,67,270,67,0.9402985074626866,0.9338455988455989,0.9346031746031747
13,2,2,5,0.1,balanced,1,True,267,67,270,67,0.9104477611940298,0.8961868686868687,0.906388888888889
13,3,2,5,0.1,balanced,1,True,267,67,270,67,0.9253731343283582,0.915232555542153,0.9213888888888888
13,4,2,5,0.1,balanced,1,True,267,67,270,67,0.9552238805970149,0.9527745457157222,0.9546031746031746
13,5,2,5,0.1,balanced,1,True,268,66,268,69,0.9393939393939394,0.9381410256410257,0.9418181818181818
14,1,2,5,0.1,balanced,2,False,267,67,270,67,0.9253731343283582,0.9317763772175537,0.9346031746031747
14,2,2,5,0.1,balanced,2,False,267,67,270,67,0.8805970149253731,0.8638175876411172,0.8702777777777777
14,3,2,5,0.1,balanced,2,False,267,67,270,67,0.835820895522388,0.8339734611793436,0.8534920634920635
14,4,2,5,0.1,balanced,2,False,267,67,270,67,0.9104477611940298,0.911947317388494,0.9203174603174604
14,5,2,5,0.1,balanced,2,False,268,66,268,69,0.8939393939393939,0.8877442002442002,0.8908658008658008
15,1,2,5,0.1,balanced,2,True,267,67,270,67,0.9402985074626866,0.9338455988455989,0.9346031746031747
15,2,2,5,0.1,balanced,2,True,267,67,270,67,0.9104477611940298,0.8961868686868687,0.906388888888889
15,3,2,5,0.1,balanced,2,True,267,67,270,67,0.9253731343283582,0.915232555542153,0.9213888888888888
15,4,2,5,0.1,balanced,2,True,267,67,270,67,0.9552238805970149,0.9527745457157222,0.9546031746031746
15,5,2,5,0.1,balanced,2,True,268,66,268,69,0.9393939393939394,0.9381410256410257,0.9418181818181818
16,1,2,5,0.3,,1,False,267,67,270,67,0.9552238805970149,0.9572189901601666,0.9546031746031746
16,2,2,5,0.3,,1,False,267,67,270,67,0.8955223880597015,0.8821031746031747,0.8788888888888889
16,3,2,5,0.3,,1,False,267,67,270,67,0.8805970149253731,0.8812712287712288,0.8834920634920636
16,4,2,5,0.3,,1,False,267,67,270,67,0.9253731343283582,0.921031011472188,0.9203174603174604
16,5,2,5,0.3,,1,False,268,66,268,69,0.9090909090909091,0.8850141688376982,0.8733333333333334
17,1,2,5,0.3,,1,True,267,67,270,67,0.9253731343283582,0.9214646464646465,0.9203174603174604
17,2,2,5,0.3,,1,True,267,67,270,67,0.9402985074626866,0.9457410236822001,0.9388888888888889
17,3,2,5,0.3,,1,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
17,4,2,5,0.3,,1,True,267,67,270,67,0.9552238805970149,0.9471056721056721,0.9457142857142857
17,5,2,5,0.3,,1,True,268,66,268,69,0.9545454545454546,0.9415476190476191,0.9349999999999999
18,1,2,5,0.3,,2,False,267,67,270,67,0.9552238805970149,0.9572189901601666,0.9546031746031746
18,2,2,5,0.3,,2,False,267,67,270,67,0.8955223880597015,0.8821031746031747,0.8788888888888889
18,3,2,5,0.3,,2,False,267,67,270,67,0.8805970149253731,0.8838164776400073,0.8834920634920636
18,4,2,5,0.3,,2,False,267,67,270,67,0.9253731343283582,0.921031011472188,0.9203174603174604
18,5,2,5,0.3,,2,False,268,66,268,69,0.9393939393939394,0.9262840101075396,0.9183333333333333
19,1,2,5,0.3,,2,True,267,67,270,67,0.9253731343283582,0.9214646464646465,0.9203174603174604
19,2,2,5,0.3,,2,True,267,67,270,67,0.9402985074626866,0.9457410236822001,0.9388888888888889
19,3,2,5,0.3,,2,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
19,4,2,5,0.3,,2,True,267,67,270,67,0.9552238805970149,0.9471056721056721,0.9457142857142857
19,5,2,5,0.3,,2,True,268,66,268,69,0.9545454545454546,0.9415476190476191,0.9349999999999999
20,1,2,5,0.3,balanced,1,False,267,67,270,67,0.9701492537313433,0.9696732026143792,0.968888888888889
20,2,2,5,0.3,balanced,1,False,267,67,270,67,0.9402985074626866,0.9360066833751045,0.9413888888888889
20,3,2,5,0.3,balanced,1,False,267,67,270,67,0.8507462686567164,0.8472236097236099,0.8634920634920634
20,4,2,5,0.3,balanced,1,False,267,67,270,67,0.9552238805970149,0.9517031171442938,0.9546031746031748
20,5,2,5,0.3,balanced,1,False,268,66,268,69,0.9242424242424242,0.9215476190476191,0.9251515151515152
